"Backorders","Pedido pendiente"
"Pre-Orders","Pedidos pevios"
Status,Status
"This product is Pre-Order and cannot be shipped","Este producto es un pedido previo y no puede ser enviado"
SKU:,SKU:
Ordered,Pedido
"Pre-Ordered","Pedido previamente"
"Pre-Order","Pedido pevio"
"In stock","En stock"
"Out stock","Fuera de stock"
"not Available","No disponible"
"Add to Cart","Agregar al carrito de compra"
"Pre-order","Pedido pevio"
"In Stock","En Stock"
"Out Stock","Fuera de stock"
available,disponibles
"Pending Pre-Order","El pedido previo pendiente"
"Processing Pre-Order","Procesamiento de un pedido previo"
"Preorders","Pedidos pevios"
"Pre-Order Note","Nota de pedido previo"
"Pre-Order Status","Estado del pedido previo"
"Please note that your order contains Pre-Order products. These products will be shipped to you once they are available.","Please note that your order contains Pre-Order products. These products will be shipped to you once they are available."
