"Backorders","Ordini non eseguiti"
"Pre-Orders","Ordini Anticipati"
Status,Status
"This product is Pre-Order and cannot be shipped","Questo prodotto e` ordine anticipato e non puo` essere spedito"
SKU:,SKU:
Ordered,Ordinato
"Pre-Ordered","Ordinato Anticipamente"
"Pre-Order","Ordine Anticipato"
"In stock","In Negozio"
"Out stock","Esaurito"
"not Available","non Disponibile"
"Add to Cart","Aggiungere al Carrello"
"Pre-order","Ordine anticipato"
"In Stock","Presente nel Magazzino"
"Out Stock","Esaurito"
available,disponibile
"Pending Pre-Order","Ordine Anticipato Aspettante"
"Processing Pre-Order","Elaborazione di ordine anticipato"
"Preorders","Ordini anticipati"
"Pre-Order Note","Nota di ordini anticipati"
"Pre-Order Status","Status di Ordine anticipato"
"Please note that your order contains Pre-Order products. These products will be shipped to you once they are available.","Please note that your order contains Pre-Order products. These products will be shipped to you once they are available."
